feature,coefficient,abs_coefficient
worst_texture,-1.2422721583056078,1.2422721583056078
radius_error,-1.0879286764392322,1.0879286764392322
worst_area,-0.9792821893883001,0.9792821893883001
area_error,-0.9580957739845817,0.9580957739845817
worst_radius,-0.9460004758044591,0.9460004758044591
worst_concave_points,-0.9452955108385611,0.9452955108385611
worst_symmetry,-0.9287294038128655,0.9287294038128655
worst_concavity,-0.8271801739751748,0.8271801739751748
worst_perimeter,-0.7648069614002009,0.7648069614002009
worst_smoothness,-0.7595666901557085,0.7595666901557085
mean_concave_points,-0.7058947027000061,0.7058947027000061
mean_compactness,0.660985056925774,0.660985056925774
compactness_error,0.6505992770524847,0.6505992770524847
mean_concavity,-0.6184389764461448,0.6184389764461448
mean_texture,-0.5562044403199289,0.5562044403199289
mean_area,-0.5481706572242956,0.5481706572242956
perimeter_error,-0.5462800306041472,0.5462800306041472
mean_radius,-0.493111658276731,0.493111658276731
mean_perimeter,-0.46098799185282846,0.46098799185282846
concave_points_error,-0.42810633690656197,0.42810633690656197
fractal_dimension_error,0.42338817125943184,0.42338817125943184
symmetry_error,0.34924357856001303,0.34924357856001303
texture_error,0.25162062915475,0.25162062915475
mean_smoothness,-0.19610022323030762,0.19610022323030762
worst_fractal_dimension,-0.18147767737232307,0.18147767737232307
mean_fractal_dimension,0.17921325792939427,0.17921325792939427
concavity_error,0.1772272006788187,0.1772272006788187
mean_symmetry,-0.1751268299190351,0.1751268299190351
smoothness_error,-0.1644102325028985,0.1644102325028985
worst_compactness,0.04956150622243974,0.04956150622243974
